PART_NUMBER;ESPECIFICA��O_TECNICA;CODIGO_PRODUTO;CODIGO_NCM;DETALHE_PRODUTO;UNIDADE;PESO_LIQUIDO;QUANTIDADE;VALOR_UNITARIO;CODIGO_FABRICANTE;MATERIA_PRIMA;REFERENCIA_FABRICANTE;CODIGO_PAIS_FABRICANTE_DESCONHECIDO;Ato Legal;Org�o Emissor;N�mero;Ano;Ex;Al�quota Ad Valorem (%);Ato Legal;Org�o Emissor;N�mero;Ano;Ex;Al�quota Ad Valorem (%);Nota Complementar;NIVEL;ATRIBUTO;ESPECIFICA��O;NIVEL;ATRIBUTO;ESPECIFICA��O;NIVEL;ATRIBUTO;ESPECIFICA��O
31B074-1;TERMINAL DE METAL COMUM, ENFITADO, 7X2.5X0.1mm.;636;8536.90.90;54;PECAS;;207000 ;0,008700 ;;;RH060801999444;;;;;;;;;;;;;;;;;;;;;;;
61B101-1;RESISTOR ELETRICO FIXO, DE FILME METALIZADO, SMD, potência não superior a 20W, 0201, 0.05W, 330 OHMS,5%;636;8533.21.20;4;PECAS;;200000 ;0,002800 ;;;RH010110080129;;;;;;;;;;;;;;;;;;;;;;;
61B102-1;RESISTOR ELETRICO FIXO, DE FILME METALIZADO, SMD, potência não superior a 20W, 0201, 0.05W, 1k OHMS,5%;636;8533.21.20;4;PECAS;;200000 ;0,002700 ;;;RH010110001098;;;;;;;;;;;;;;;;;;;;;;;
62B065-1;CAPACITOR ELETRICO FIXO, COM DIELETRICO CERAMICO, MULTICAMADAS, SMD, 0201-16V-104-K-10%-X5R, DIMENSAO: L0.6XW0.3XT0.3MM, TENSAO: 16V, TOLERANCIA: 10%, APLICACAO: MONTAGEM EM PCM PARA BATERIA DE CELULAR.;636;8532.24.10;1;PECAS;;1005000 ;0,001500 ;;;RH010388164756;;;;;;;;;;;;;;;;;;;;;;;
64B026-1;TRANSISTOR, MONTADO, SMD, MOS, CSPC3015-10-CJ8208SP-A-JSCJ, DIMENSAO: 1.53X3.02X0.09MM, TENSAO: 12V, CORRENTE: 14A, APLICACAO: TRANSISTOR MOSFET PARA CONTROLE DE TENSAO E CORRENTE;636;8541.29.20;7;PECAS;;105000 ;0,173338 ;;;RH013501000566;;;;;;;;;;;;;;;;;;;;;;;
15B022-1;CONECTOR PARA PLACA DE CIRCUITO IMPRESSO. 8P,BAM04-08073-0414-LCN, DIMENSAO: 4.26X2.20X0.58MM, TENSAO 60V, CORRENTE 15A, FAIXA DE OPERACAO: -40 A 85 GRAUS CELSIUS, BASE LCP, TERMINAL DE CONTATO: LIGA DE COBRE, COR PRETA.;636;8536.90.40;2;PECAS;;90000 ;0,039400 ;;;RH011899005352;;;;;;;;;;;;;;;;;;;;;;;
18B048-1;PECA ISOLANTE, DE BORRACHA,DIMENSAO: 64X0.40X2MM, MATERIAL: LAMINACAO DE SILICONE PRETO - PET (POLIETILENO TEREFTALATO) - ADESIVO 3M55256 COM PAPEL INFERIOR GLASSINE BRANCO. EM ROLO COM QUANTIDADE MENOR OU IGUAL A 15000 PECAS, DIAMETRO DO ROLO MENOR OU IGUAL A 250MM.;636;8547.90.00;15;PECAS;;105000 ;0,007000 ;;;RH040801003661;;;;;;;;;;;;;;;;;;;;;;;
23B086-1;CIRCUITO IMPRESSO DUPLA FACE, FLEXIVEL, SEM COMPONENTES ELETROELETRONICOS.,FPC, A06 STA71-CN-V1.0, 2 LAYERS,NVE AA = 0002, AB = 9999, AC = 0002, AD = 9999.;636;8534.00.40;1;PECAS;;101328 ;0,087500 ;;;RH020600000272;;;;;;;;;;;;;;;;;;;;;;;
23B087-1;CIRCUITO IMPRESSO MULTICAMADAS, COM ISOLANTE DE RESINA EPOXIDA E TECIDO DE FIBRA DE VIDRO, SEM COMPONENTES ELETROELETRONICOS,A06, STA71-V1.0.4, 1MM, FR4 OSP,NVE AA = 0001, AB = 0003, AC = 0003, AD = 9999.;636;8534.00.51;3;PECAS;;102488 ;0,085600 ;;;RH020500002451;;;;;;;;;;;;;;;;;;;;;;;
29B210-1;ETIQUETA DE PLASTICO, AUTO-ADESIVA, EM ROLO.;636;3919.10.90;1;PECAS;;110000 ;0,008100 ;;;RH040801004122;;;;;;;;;;;;;;;;;;;;;;;
29B211-1;ETIQUETA DE PLASTICO, AUTO-ADESIVA, EM ROLO.;636;3919.10.90;1;PECAS;;110000 ;0,007000 ;;;RH040801003659;;;;;;;;;;;;;;;;;;;;;;;
29B208-1;ETIQUETA DE PLASTICO, AUTO-ADESIVA, EM ROLO.;636;3919.10.90;1;PECAS;;102000 ;0,057700 ;;;RH040801003665;;;;;;;;;;;;;;;;;;;;;;;
29B209-1;ETIQUETA DE PLASTICO, AUTO-ADESIVA, EM ROLO.;636;3919.10.90;1;PECAS;;105000 ;0,028700 ;;;RH040801003668;;;;;;;;;;;;;;;;;;;;;;;
29B192-1;FITA, AUTO-ADESIVA, DE PLASTICO, EM ROLO. EM ROLOS DE LARGURA NAO SUPERIOR A 20CM. NVE AA / 0002 ETIQUETAS,NVE AA = 0002, PET TRANSPARENTE, DIMENSAO: 30X13X0.09MM, MATERIAL PET (POLIETILENO TEREFTALATO), COR TRANSPARENTE, AZUL, VERMELHO E BRANCO. EM ROLO COM QUANTIDADE MENOR OU IGUAL A 10000 PECAS, DIAMETRO DO ROLO MENOR OU IGUAL A 250MM.;636;3919.10.90;4;PECAS;;100000 ;0,007800 ;;;RH040801003728;;;;;;;;;;;;;;;;;;;;;;;
60B007-1;DIODO DE SINAL, MONTADO, SMD,LESD11D5.0CT5G,5V,DFN0603-D LRC, DIMENSAO: 0.61X0.31X0.28, APLICACAO: RETIFICACAO DE BAIXA CORRENTE - PROTECAO CONTRA SOBRETENSAO, TENSAO: 5V, DIODO TVS.;636;8541.10.22;9;PECAS;;105000 ;0,007780 ;;;RH010507000510;;;;;;;;;;;;;;;;;;;;;;;
61B147-1;RESISTOR ELETRICO FIXO, SMD. PARA POTENCIA NAO SUPERIOR A 20W,PRJ-0402-0.0625W-47K, DIMENSAO: L1.00XW0.5XH0.3MM, 47K, 1/16W, TOLERANCIA: 1%.;636;8533.21.20;5;PECAS;;100000 ;0,000390 ;;;RH010109406975;;;;;;;;;;;;;;;;;;;;;;;
61B148-1;RESISTOR ELETRICO FIXO, SMD. PARA POTÊNCIA NÃO SUPERIOR A 20W,0402-0.125W-100R ±5%-TA-I,;636;8533.21.20;5;PECAS;;100000 ;0,000570 ;;;RH010110250718;;;;;;;;;;;;;;;;;;;;;;;
61B149-1;RESISTOR ELETRICO FIXO, SMD. PARA POTÊNCIA NÃO SUPERIOR A 20W,PRT-0402-1K ±5%-TA-I,;636;8533.21.20;5;PECAS;;100000 ;0,000240 ;;;RH010110120014;;;;;;;;;;;;;;;;;;;;;;;
61B150-1;"RESISTOR ELETRICO FIXO, SMD. PARA POTENCIA NAO SUPERIOR A 20W, 1206-1W-2M �1%-MLR120610FR002- DIMENSAO: L3.2XW1.70XH0.4MM, 2M, 1W, TOLERANCIA: 1%
";636;8533.21.20;5;PECAS;;205000 ;0,023330 ;;;RH010110251522;;;;;;;;;;;;;;;;;;;;;;;
63B031-1;TERMISTOR, NTC,PRR-0201-10K 1%-3435K-1%-TDK, COMPRIMENTO EM MM: 0.60 - /- 0.03MM, RESISTENCIA: 10KOHM, MONITORAMENTO: PROTECAO DE TEMPERATURA, FAIXA DE OPERACAO EM GRAUS CELSIUS: -40 A 125 GRAUS CELSIUS, MASSA: 0.0003G, LOCAL USADO: MONTAGEM DE PCM (PROTECTION CIRCUITE MODULE) DE BATERIA DE CELULAR.;636;8533.40.11;1;PECAS;;105000 ;0,006170 ;;;RH010189040053;;;;;;;;;;;;;;;;;;;;;;;
64B034-1;TRANSISTOR, MONTADO, SMD,MOS, AOC3870C-ALPHADFN 10-AOS, DIMENSAO: 3.01X1.52X0.1MM, TENSAO: 12V, APLICACAO: CARREGAMENTO E DESCARREGAMENTO DA BATERIA DO DISPOSITIVO MOVEL;636;8541.29.20;7;PECAS;;104000 ;0,155128 ;;;RH010899006996;;;;;;;;;;;;;;;;;;;;;;;
66B097-1;CIRCUITO INTEGRADO MONOLITICO, DIGITAL, MONTADO, SMD,SSON-6-MM3860AFMRR4-MITSUMI, DIMENSAO: 1.40X1.40X0.55MM, TENSAO: -0.3 A 12V, APLICACAO: IC DE PROTECAO PARA BATERIA DE POLIMERO.;636;8542.39.39;1;PECAS;;100000 ;0,092815 ;;;RH010808000437;;;;;;;;;;;;;;;;;;;;;;;
66B098-1;CIRCUITO INTEGRADO MONOLITICO, DIGITAL, MONTADO, SMD,SSON-6-MM3860AFLRR4-MITSUMI, DIMENSAO: 1.40X1.40X0.55MM, TENSAO: -0.3 A 12V, APLICACAO: IC DE PROTECAO PARA BATERIA DE POLIMERO;636;8542.39.39;1;PECAS;;100000 ;0,092815 ;;;RH010808000438;;;;;;;;;;;;;;;;;;;;;;;
